morpho_cluster,parcel_count,area_m2,perimeter_m,compactness_idx,rectangularity_idx,orientation_angle
0,26,8376.718290204659,491.0120795787834,0.4570629361267646,0.5919661893171342,38.153702001766106
1,286,457.4880541597432,87.08441333515681,0.5149969426850284,0.6632927620333238,40.87278335382418
2,838,180.03181528342841,49.99088535203986,0.7009460299415896,0.9017382345854625,17.924829146041347
3,911,157.81531335992787,47.05989277244774,0.7076927693466506,0.8996594487247025,62.578759856168304
